id,inf,perf,prat,es
v1,machen,hat gemacht,machte,hacer
v2,gehen,ist gegangen,ging,ir
v3,kommen,ist gekommen,kam,venir
v4,sehen,hat gesehen,sah,ver
v5,haben,hat gehabt,hatte,tener
v6,sein,ist gewesen,war,ser / estar
v7,werden,ist geworden,wurde,llegar a ser / volverse
v8,wissen,hat gewusst,wusste,saber
v9,denken,hat gedacht,dachte,pensar
v10,sprechen,hat gesprochen,sprach,hablar
v11,fahren,ist gefahren,fuhr,manejar / viajar
v12,schreiben,hat geschrieben,schrieb,escribir
v13,lesen,hat gelesen,las,leer
v14,essen,hat gegessen,aß,comer
v15,trinken,hat getrunken,trank,beber
v16,arbeiten,hat gearbeitet,arbeitete,trabajar
v17,lernen,hat gelernt,lernte,aprender / estudiar
v18,kaufen,hat gekauft,kaufte,comprar
v19,geben,hat gegeben,gab,dar
v20,nehmen,hat genommen,nahm,tomar / coger
v21,finden,hat gefunden,fand,encontrar
v22,stehen,hat gestanden,stand,estar de pie / estar (ubicado)
v23,laufen,ist gelaufen,lief,correr / caminar
v24,bleiben,ist geblieben,blieb,quedarse
v25,schlafen,hat geschlafen,schlief,dormir
v26,anfangen,hat angefangen,fing an,comenzar (separable)
v27,aufmachen,hat aufgemacht,machte auf,abrir (separable)
v28,anrufen,hat angerufen,rief an,llamar por teléfono (sep.)
v29,einkaufen,hat eingekauft,kaufte ein,hacer compras (sep.)
v30,verstehen,hat verstanden,verstand,entender
v31,erklären,hat erklärt,erklärte,explicar
v32,helfen,hat geholfen,half,ayudar
v33,bringen,hat gebracht,brachte,traer / llevar
v34,fragen,hat gefragt,fragte,preguntar
v35,antworten,hat geantwortet,antwortete,responder
v36,hören,hat gehört,hörte,escuchar / oír
v37,zeigen,hat gezeigt,zeigte,mostrar
v38,stellen,hat gestellt,stellte,poner (vertical)
v39,legen,hat gelegt,legte,poner (horizontal)
v40,setzen,hat gesetzt,setzte,sentar / poner
v41,öffnen,hat geöffnet,öffnete,abrir
v42,schließen,hat geschlossen,schloss,cerrar
v43,beginnen,hat begonnen,begann,comenzar
v44,enden,hat geendet,endete,terminar / acabar
v45,wohnen,hat gewohnt,wohnte,vivir / residir
v46,heißen,hat geheißen,hieß,llamarse
v47,kennen,hat gekannt,kannte,conocer (personas/lugares)
v48,mögen,hat gemocht,mochte,gustar / querer
v49,brauchen,hat gebraucht,brauchte,necesitar
v50,bezahlen,hat bezahlt,bezahlte,pagar
