id,de,es
w1,der Mann,el hombre
w2,die Frau,la mujer
w3,das Kind,el niño / la niña
w4,die Familie,la familia
w5,der Freund / die Freundin,el amigo / la amiga
w6,das Haus,la casa
w7,die Wohnung,el departamento
w8,das Auto,el auto
w9,die Arbeit,el trabajo
w10,der Beruf,la profesión
w11,die Schule,la escuela
w12,die Universität,la universidad
w13,das Geld,el dinero
w14,die Zeit,el tiempo (duración)
w15,das Wetter,el tiempo (clima)
w16,die Stadt,la ciudad
w17,das Land,el país / el campo
w18,der Weg,el camino / la ruta
w19,die Straße,la calle
w20,der Bahnhof,la estación de tren
w21,das Flugzeug,el avión
w22,der Zug,el tren
w23,das Essen,la comida
w24,das Wasser,el agua
w25,das Brot,el pan
w26,die Milch,la leche
w27,der Kaffee,el café
w28,das Buch,el libro
w29,der Tisch,la mesa
w30,der Stuhl,la silla
w31,das Fenster,la ventana
w32,die Tür,la puerta
w33,der Computer,el computador
w34,das Telefon,el teléfono
w35,die Sprache,el idioma / la lengua
w36,das Wort,la palabra
w37,der Satz,la oración / la frase
w38,die Frage,la pregunta
w39,die Antwort,la respuesta
w40,das Problem,el problema
w41,die Lösung,la solución
w42,der Mensch,la persona / el ser humano
w43,das Leben,la vida
w44,die Welt,el mundo
w45,die Natur,la naturaleza
w46,die Gesundheit,la salud
w47,der Arzt / die Ärztin,el médico / la médica
w48,das Krankenhaus,el hospital
w49,die Medizin,la medicina
w50,der Körper,el cuerpo
w51,das Herz,el corazón
w52,die Hand,la mano
w53,der Kopf,la cabeza
w54,das Auge,el ojo
w55,die Stimme,la voz
w56,die Freude,la alegría
w57,die Angst,el miedo
w58,die Hoffnung,la esperanza
w59,der Traum,el sueño
w60,die Liebe,el amor
w61,der Anfang,el comienzo
w62,das Ende,el fin / el final
w63,die Möglichkeit,la posibilidad
w64,die Entscheidung,la decisión
w65,der Unterschied,la diferencia
w66,das Beispiel,el ejemplo
w67,der Grund,la razón / el motivo
w68,die Meinung,la opinión
w69,die Information,la información
w70,der Bericht,el informe / el reporte
w71,das Ergebnis,el resultado
w72,die Erfahrung,la experiencia
w73,der Erfolg,el éxito
w74,die Aufgabe,la tarea / la misión
w75,der Plan,el plan
w76,das Ziel,el objetivo / la meta
w77,die Reise,el viaje
w78,der Urlaub,las vacaciones
w79,der Morgen,la mañana
w80,der Abend,la tarde / la noche
w81,die Nacht,la noche
w82,die Woche,la semana
w83,der Monat,el mes
w84,das Jahr,el año
w85,die Geschichte,la historia
w86,die Kultur,la cultura
w87,die Musik,la música
w88,das Spiel,el juego
w89,der Sport,el deporte
w90,die Mannschaft,el equipo
w91,der Preis,el precio / el premio
w92,das Geschäft,la tienda / el negocio
w93,der Markt,el mercado
w94,die Rechnung,la cuenta / la factura
w95,das Angebot,la oferta
w96,die Umwelt,el medio ambiente
w97,die Energie,la energía
w98,die Technologie,la tecnología
w99,das System,el sistema
w100,die Gesellschaft,la sociedad
